№,Флаг,Герб,Название района[2]/поселения[3][4],Название cоответствующего внутригородского муниципального образования: муниципального округа / поселения / городского округа[5],Адми-нистра-тивныйокруг,"Пло-щадь,[6][7]км²","Насе-ление2019[8],чел.","Плот-ностьнасе-ления2019,чел. / км²","Пло-щадьжилого фонда(01.01.2010)[9],тыс. м²","Жил-площадьначело-века(01.01.2010),м²/чел."
49.0,  , ,Лианозово , Лианозово , СВАО ," 5,79 ", ↗85 901 ,14836.1," 1563,7 "," 18,1
"
50.0,  , ,Ломоносовский , Ломоносовский , ЮЗАО ," 3,34 ", ↗88 320 ,26443.11," 2881,5 "," 33,9
"
51.0, , , Лосиноостровский , Лосиноостровский , СВАО ," 5,54 ", ↗82 899 ,14963.72," 1486,0 "," 18,7
"
52.0, , , Люблино , Люблино , ЮВАО ," 17,41 ", ↗172 054 ,9882.48," 2739,7 "," 15,9
"
53.0,  , ,Марфино , Марфино , СВАО ," 2,97 ", ↗35 387 ,11914.81," 711,1 "," 26,2
"
54.0, , , Марьина Роща , Марьина Роща , СВАО ," 4,68 ", ↗67 394 ,14400.43," 1118,9 "," 16,9
"
55.0,  , ,Марьино , Марьино , ЮВАО ," 11,91 ", ↗253 943 ,21321.83," 4523,0 "," 18,6							
"
56.0,  , ,Матушкино , Матушкино , ЗелАО ," 4,38 ", ↗40 694 ,9290.87," 781,0 "," 20,3
"
57.0,  , ,Метрогородок , Метрогородок , ВАО ," 27,57 ", ↗39 024 ,1415.45," 575,7 "," 15,9
"
58.0, , , Мещанский , Мещанский , ЦАО ," 4,60 ", ↗61 213 ,13307.17," 1417,4 "," 24,4
"
59.0, , , Митино , Митино , СЗАО ," 12,67 ", ↗194 965 ,15387.92," 3658,1 "," 21,0
"
60.0,  , ,Можайский , Можайский , ЗАО ," 10,73 ", ↗138 610 ,12917.99," 2655,9 "," 20,0
"
61.0, , , Молжаниновский , Молжаниновский , САО ," 21,78 ", ↗12 194 ,559.87," 69,9 "," 19,9
"
62.0, , , Москворечье-Сабурово , Москворечье-Сабурово , ЮАО ," 9,30 ", ↗80 673 ,8674.52," 1314,7 "," 17,9
"
63.0,  , ,Нагатино-Садовники , Нагатино-Садовники , ЮАО ," 8,17 ", ↗83 496 ,10219.83," 960,4 "," 12,8
"
64.0,  , ,Нагатинский Затон , Нагатинский Затон , ЮАО ," 9,80 ", ↗120 954 ,12342.24," 1848,8 "," 16,2
"
65.0,  , ,Нагорный , Нагорный , ЮАО ," 5,42 ", ↗81 731 ,15079.52," 1551,4 "," 20,3
"
66.0, , , Некрасовка , Некрасовка , ЮВАО ," 5,58 ", ↗71 943 ,12893.01," 385,5 "," 20,1
"
67.0,  , ,Нижегородский , Нижегородский , ЮВАО ," 7,57 ", ↗45 294 ,5983.36," 722,3 "," 16,8
"
68.0, , , Новогиреево , Новогиреево , ВАО ," 4,45 ", ↗98 415 ,22115.73," 1704,0 "," 17,9
"
69.0, , , Новокосино , Новокосино , ВАО ," 3,60 ", ↗107 907 ,29974.17," 1682,4 "," 16,2
"
70.0,  , ,Ново-Переделкино , Ново-Переделкино , ЗАО ," 8,48 ", ↘121 553 ,14334.08," 1895,0 "," 16,4
"
71.0,  , ,Обручевский , Обручевский , ЮЗАО ," 6,11 ", ↗86 793 ,14205.07," 1742,0 "," 21,7
"
72.0, , , Орехово-Борисово Северное , Орехово-Борисово Северное , ЮАО ," 7,67 ", ↗132 265 ,17244.46," 1939,6 "," 15,1
"
73.0,  , ,Орехово-Борисово Южное , Орехово-Борисово Южное , ЮАО ," 6,94 ", ↗147 789 ,21295.24," 2149,7 "," 14,8
"
74.0, , , Останкинский , Останкинский , СВАО ," 12,46 ", ↗63 514 ,5097.43," 1131,4 "," 18,6
"
75.0, , , Отрадное , Отрадное , СВАО ," 10,18 ", ↗185 488 ,18220.83," 3191,6 "," 17,8
"
76.0, , , Очаково-Матвеевское , Очаково-Матвеевское , ЗАО ," 17,54 ", ↗130 742 ,7453.93," 2255,1 "," 19,7
"
77.0, , , Перово , Перово , ВАО ," 9,73 ", ↗140 968 ,14487.98," 2248,0 "," 16,5
"
78.0,  , ,Печатники , Печатники , ЮВАО ," 17,89 ", ↗86 587 ,4839.97," 1369,3 "," 16,5
"
79.0, , , Покровское-Стрешнево , Покровское-Стрешнево , СЗАО ," 12,90 ", ↗59 402 ,4604.81," 1006,7 "," 18,1
"
80.0, , , Преображенское , Преображенское , ВАО ," 5,61 ", ↗91 503 ,16310.7," 1453,2 "," 17,7
"
81.0,  , ,Пресненский , Пресненский , ЦАО ," 11,70 ", ↗128 062 ,10945.47," 1416,4 "," 11,5
"
82.0, , , Проспект Вернадского , Проспект Вернадского , ЗАО ," 4,65 ", ↗63 659 ,13690.11," 1831,0 "," 29,6
"
83.0, , ,Раменки , Раменки , ЗАО ," 18,54 ", ↗141 610 ,7638.08," 3511,2 "," 27,0
"
84.0, , , Ростокино , Ростокино , СВАО ," 3,54 ", ↗40 082 ,11322.6," 732,8 "," 19,7
"
85.0, , , Рязанский , Рязанский , ЮВАО ," 6,49 ", ↗109 733 ,16908.01," 2025,9 "," 19,9
"
86.0, , , Савёлки , Савёлки , ЗелАО ," 8,13 ", ↗34 472 ,4240.1," 695,0 "," 21,4
"
87.0, , , Савёловский , Савёловский , САО ," 2,70 ", ↗59 287 ,21958.15," 1120,0 "," 19,2
"
88.0, , , Свиблово , Свиблово , СВАО ," 4,41 ", ↗62 847 ,14251.02," 956,1 "," 15,9
"
89.0, , , Северное Бутово , Северное Бутово , ЮЗАО ," 9,13 ", ↗95 882 ,10501.86," 1751,0 "," 20,0
"
90.0, , , Северное Измайлово , Северное Измайлово , ВАО ," 4,20 ", ↗87 614 ,20860.48," 1624,3 "," 19,1
"
91.0, , , Северное Медведково , Северное Медведково , СВАО ," 5,66 ", ↗127 819 ,22582.86," 1764,0 "," 14,5
"
92.0, , , Северное Тушино , Северное Тушино , СЗАО ," 9,40 ", ↗165 762 ,17634.26," 2665,5 "," 17,4
"
93.0, , , Северный , Северный , СВАО ," 10,29 ", ↗38 551 ,3746.45," 620,0 "," 22,2
"
94.0, , , Силино , Силино , ЗелАО ," 10,40 ", ↗40 218 ,3867.12, 765.0 ," 19,8
"
95.0,  , ,Сокол , Сокол , САО ," 3,72 ", ↗59 507 ,15996.51," 1163,5 "," 20,2
"
96.0, , , Соколиная Гора , Соколиная Гора , ВАО ," 7,84 ", ↗92 126 ,11750.77," 1422,0 "," 16,3
"
97.0, , , Сокольники , Сокольники , ВАО ," 10,28 ", ↗61 487 ,5981.23," 1247,2 "," 21,7
"
98.0, , , Солнцево , Солнцево , ЗАО ," 11,29 ", ↗126 456 ,11200.71," 2058,4 "," 17,7
"
99.0, , , Старое Крюково , Старое Крюково , ЗелАО ," 3,81 ", ↗31 053 ,8150.39," 566,0 "," 19,7
"
100.0,  , ,Строгино , Строгино , СЗАО ," 16,84 ", ↗160 791 ,9548.16," 2406,2 "," 15,8
"
101.0, , , Таганский , Таганский , ЦАО ," 8,01 ", ↗123 398 ,15405.49," 2380,6 "," 20,5
"
102.0,  , ,Тверской , Тверской , ЦАО ," 7,27 ", ↗77 864 ,10710.32," 1253,3 "," 16,4
"
103.0, , , Текстильщики , Текстильщики , ЮВАО ," 5,92 ", ↗105 267 ,17781.59," 1638,7 "," 16,3
"
104.0, , , Тёплый Стан , Тёплый Стан , ЮЗАО ," 7,50 ", ↗134 321 ,17909.47," 2406,4 "," 19,1
"
105.0,  , ,Тимирязевский , Тимирязевский , САО ," 10,43 ", ↗83 712 ,8026.08," 1836,2 "," 22,2
"
106.0, , , Тропарёво-Никулино , Тропарёво-Никулино , ЗАО ," 11,27 ", ↗124 167 ,11017.48," 2895,2 "," 24,4
"
107.0, , , Филёвский Парк , Филёвский Парк , ЗАО ," 9,62 ", ↗94 323 ,9804.89," 1605,9 "," 19,9
"
108.0, , , Фили-Давыдково , Фили-Давыдково , ЗАО ," 6,96 ", ↗115 128 ,16541.38," 2388,6 "," 21,3
"
109.0, , , Хамовники , Хамовники , ЦАО ," 10,08 ", ↗109 218 ,10835.12," 2559,6 "," 24,8
"
110.0, , , Ховрино , Ховрино , САО ," 5,73 ", ↗89 018 ,15535.43," 2450,2 "," 30,2
"
111.0,  , ,Хорошёво-Мнёвники , Хорошёво-Мнёвники , СЗАО ," 17,18 ", ↗173 615 ,10105.65," 2918,0 "," 17,8
"
112.0, , , Хорошёвский , Хорошёвский , САО ," 9,88 ", ↗72 676 ,7355.87," 2182,0 "," 38,2
"
113.0, , , Царицыно , Царицыно , ЮАО ," 8,43 ", ↗129 138 ,15318.86," 1836,9 "," 14,9
"
114.0, , , Черёмушки , Черёмушки , ЮЗАО ," 5,52 ", ↗110 753 ,20063.95," 1656,7 "," 16,3
"
115.0,  , ,Чертаново Северное , Чертаново Северное , ЮАО ," 5,40 ", ↗114 548 ,21212.59," 1899,5 "," 17,2
"
116.0, , , Чертаново Центральное , Чертаново Центральное , ЮАО ," 6,52 ", ↗117 092 ,17958.9," 2907,0 "," 26,0
"
117.0, , , Чертаново Южное , Чертаново Южное , ЮАО ," 9,38 ", ↗151 726 ,16175.48," 2192,8 "," 15,4
"
118.0, , , Щукино , Щукино , СЗАО ," 7,69 ", ↗111 203 ,14460.73," 2062,0 "," 20,1
"
119.0,  , ,Южное Бутово , Южное Бутово , ЮЗАО ," 25,54 ", ↗210 676 ,8248.86," 4195,0 "," 23,4
"
120.0, , , Южное Медведково , Южное Медведково , СВАО ," 3,88 ", ↗85 698 ,22087.11," 1355,3 "," 16,3
"
121.0, , , Южное Тушино , Южное Тушино , СЗАО ," 7,94 ", ↗109 218 ,13755.42," 1714,9 "," 16,9
"
122.0,  , ,Южнопортовый , Южнопортовый , ЮВАО ," 4,53 ", ↗74 729 ,16496.47," 1449,0 "," 20,6
"
123.0, , , Якиманка , Якиманка , ЦАО ," 4,80 ", ↗27 672 ,5765.0," 788,7 "," 29,8
"
124.0, , , Ярославский , Ярославский , СВАО ," 7,99 ", ↗98 108 ,12278.85," 1404,5 "," 15,3
"
125.0, , , Ясенево , Ясенево , ЮЗАО ," 25,37 ", ↗177 901 ,7012.26," 2969,3 "," 16,4
"
126.0, , ," Внуковское, поселение[Прим. 1] "," Внуковское, поселение ", НАО ," 25,60 ", ↗7815 ,305.27, ,"
"
127.0, , ," Вороновское, поселение[Прим. 2] "," Вороновское, поселение ", ТАО ," 206,26 ", ↗8891 ,43.11, ,"
"
128.0,  , ,"Воскресенское, поселение[Прим. 3] "," Воскресенское, поселение ", НАО ," 24,77 ", ↗9822 ,396.53, ,"
"
129.0, , ," Десёновское, поселение[Прим. 4] "," Десёновское, поселение ", НАО ," 52,96 ", ↗22 413 ,423.21, ,"
"
130.0,  , ,"Киевский, поселение[Прим. 5] "," Киевский, поселение ", ТАО ," 56,50 ", ↗13 968 ,247.22, ,"
"
131.0,  , ,"Клёновское, поселение[Прим. 6] "," Клёновское, поселение ", ТАО ," 58,30 ", ↗4116 ,70.6, ,"
"
132.0,  , ,"Кокошкино, поселение[Прим. 7] "," Кокошкино, поселение ", НАО ," 8,28 ", ↗19 045 ,2300.12, ,"
"
133.0, , ," Краснопахорское, поселение[Прим. 8] "," Краснопахорское, поселение ", ТАО ," 87,78 ", ↗4901 ,55.83, ,"
"
134.0,  , ,"Марушкинское, поселение[Прим. 9] "," Марушкинское, поселение ", НАО ," 50,63 ", ↗7082 ,139.88, ,"
"
135.0, , ," Михайлово-Ярцевское, поселение[Прим. 10] "," Михайлово-Ярцевское, поселение ", ТАО ," 63,47 ", ↗5483 ,86.39, ,"
"
136.0,  , ,"Московский, поселение[Прим. 11] "," Московский, поселение ", НАО ," 40,60 ", ↗61 224 ,1507.98, ,"
"
137.0, , ," Мосрентген, поселение[Прим. 12] "," Мосрентген, поселение ", НАО ," 6,41 ", ↗20 736 ,3234.95, ,"
"
138.0,  , ,"Новофёдоровское, поселение[Прим. 13] "," Новофёдоровское, поселение ", ТАО ," 156,75 ", ↗6943 ,44.29, ,"
"
139.0, , ," Первомайское, поселение[Прим. 14] "," Первомайское, поселение ", ТАО ," 118,94 ", ↗8481 ,71.3, ,"
"
140.0, , ," Роговское, поселение[Прим. 15] "," Роговское, поселение ", ТАО ," 175,95 ", ↗3915 ,22.25, ,"
"
141.0, , ," Рязановское, поселение[Прим. 16] "," Рязановское, поселение ", НАО ," 41,41 ", ↗20 587 ,497.15, ,"
"
142.0, , ," Сосенское, поселение[Прим. 17] "," Сосенское, поселение ", НАО ," 67,07 ", ↗30 651 ,457.0, ,"
"
143.0, , ," Троицк, поселение[Прим. 18] "," Троицк, городской округ ", ТАО ," 16,33 ", ↗61 079 ,3740.29, ,"
"
144.0,  , ,"Филимонковское, поселение[Прим. 19] "," Филимонковское, поселение ", НАО ," 35,77 ", ↗7026 ,196.42, ,"
"
145.0, , ," Щаповское, поселение[Прим. 20] "," Щаповское, поселение ", ТАО ," 86,06 ", ↗9572 ,111.22, ,"
"
146.0, , ," Щербинка, поселение[Прим. 21] "," Щербинка, городской округ ", НАО ," 7,62 ", ↗53 281 ,6992.26, ,"
"
