Cluster_Labels,Population_Mean,Housing_Price_Mean,Population_Sum,Population_%,Borough_Count,Area_Sum,Area_%,Population_Density
0,78538.9014084507,173695.0704225352,5576262,46.53977273533425,71,539.8700000000001,51.67357408807681,10328.897697593862
1,153187.23529411765,160741.32352941178,5208366,43.46929358097628,34,391.24999999999994,37.44843362653981,13312.117571884986
2,79805.66666666667,333794.86666666664,1197085,9.99093368368947,15,113.65,10.877992285383387,10533.08402991641
