Borough_Name,District_Name,Borough_Type,OKATO_Borough_Code,OKTMO_District_Code,Borough_Area,Borough_Population,Borough_Population_Density,Borough_Housing_Area,Borough_Housing_Area_Per_Person,Latitude,Longitude,Borough_Housing_Price,Borough_Population_Housing_Price,Cluster_Labels
Донской,ЮАО,Муниципальный округ,45296561,45915000,5.73,51894,9056,1094.0,23.0,55.7052265,37.6016374,227484,0.2281215382180725,0
Дорогомилово,ЗАО,Муниципальный округ,45268554,45318000,7.95,76093,9571,1906.2,28.0,55.73986970000001,37.5365271,263011,0.2893148955747098,0
Замоскворечье,ЦАО,Муниципальный округ,45286560,45376000,4.32,59105,13681,1072.3,19.2,55.7356637,37.6348669,398544,0.148302320446425,2
Западное Дегунино,САО,Муниципальный округ,45277577,45340000,7.53,84163,11177,1385.1,17.5,55.8732647,37.5181287,158225,0.531919734555222,0
Зюзино,ЮЗАО,Муниципальный округ,45293562,45901000,5.45,126815,23268,2132.3,17.5,55.65314179999999,37.5867464,180447,0.7027825344838097,1
Зябликово,ЮАО,Муниципальный округ,45296565,45916000,4.38,133278,30428,1879.2,14.5,55.62181995674133,37.74283912440797,140687,0.9473369963109598,1
Ивановское,ВАО,Муниципальный округ,45263567,45306000,10.19,128267,12587,2075.0,16.2,55.7700304,37.8258305,141112,0.9089730143432168,1
Измайлово,ВАО,Муниципальный округ,45263570,45307000,15.24,107381,7046,2055.9,19.7,55.7966159,37.7841549,192313,0.5583657891042207,0
Капотня,ЮВАО,Муниципальный округ,45290558,45386000,8.06,32399,4019,408.5,13.8,55.63674820000001,37.7984857,120200,0.26954242928452576,0
Коньково,ЮЗАО,Муниципальный округ,45293566,45902000,7.18,156389,21781,3098.8,20.4,55.642605728036834,37.52598788997194,190654,0.8202765218668373,1
Коптево,САО,Муниципальный округ,45277580,45341000,5.38,102076,18973,2449.8,25.0,55.8300649,37.5217381,157633,0.6475547632792626,0
Котловка,ЮЗАО,Муниципальный округ,45293570,45903000,3.94,65892,16723,1104.1,17.0,55.67698220182439,37.59924438258668,171287,0.3846876879156037,0
Красносельский,ЦАО,Муниципальный округ,45286565,45378000,4.96,48697,9817,871.2,18.3,55.77744720000001,37.6541598,322543,0.1509783191698471,2
Крылатское,ЗАО,Муниципальный округ,45268560,45319000,12.04,82817,6878,1850.5,22.4,55.7565949,37.4081393,214855,0.3854553070675572,0
Кузьминки,ЮВАО,Муниципальный округ,45290562,45387000,8.15,145984,17912,2312.7,16.1,55.70560210000001,37.7657844,157459,0.9271238862179996,1
Кунцево,ЗАО,Муниципальный округ,45268562,45320000,16.56,152364,9200,2587.4,17.6,55.74263249999999,37.3974723,210010,0.7255083091281368,1
Левобережный,САО,Муниципальный округ,45277583,45342000,8.0,54596,6824,933.0,17.7,55.8650743,37.4691831,171944,0.3175219839017355,0
Лефортово,ЮВАО,Муниципальный округ,45290564,45388000,9.06,95343,10523,1384.2,15.2,55.7573988,37.7049319,188256,0.5064539775624681,0
