Borough_Name,Venue_Name,Venue_Category_Name,Venue_Location,Venue_Latitude,Venue_Longitude
Орехово-Борисово Южное,Фитнес Клуб Вымпел,Gym / Fitness Center,"Каширское ш., 144, корп. 2",55.59658991007165,37.72289678619024
Орехово-Борисово Южное,Фитнес Профи,Gym / Fitness Center,На терр. 16 автобусного парка. Каширское шоссе,55.598571611000565,37.72695322422652
Тропарёво-Никулино,Aster женский спортивный клуб,Gym / Fitness Center,Россия,55.65082656417361,37.46927245288275
Тропарёво-Никулино,СССР,Gym / Fitness Center,"Ленинский просп., 158",55.65065754052618,37.482700899328506
Тропарёво-Никулино,Фитнес Клуб Спорт-лэнд,Gym,Гостиница Салют,55.65148098059237,37.48389287805673
Коньково,Fitness Time,Gym / Fitness Center,город Москва,55.64353058053568,37.511780305507216
Коньково,Фитнес Тайм,Gym / Fitness Center,"Арцимовича, 8",55.64343883733302,37.511108681083854
Коньково,Gym-Gym,Gym,117279,55.64174242685663,37.52462300086192
Коньково,Йога-станция Агапкин,Yoga Studio,"ул. Миклухо-Маклая, д.34",55.63950582625017,37.532147023913225
Коньково,Спортклуб Гигант,Gym,"Миклухо-маклая Д.55, город Москва",55.642523514374936,37.528076157244
Коньково,Rocky Boxing Club,Gym / Fitness Center,Миклухо-маклая 34,55.63920996368768,37.531985758709155
Орехово-Борисово Южное,Европа Фитнес,Gym / Fitness Center,"Домодедовская ул., 28",55.60523539509568,37.712616077059046
Солнцево,Качалочка Для Культиков,Gym,"Улица Матросова, Дом 7/3",55.663461,37.419539
Тропарёво-Никулино,Point Fitness,Gym / Fitness Center,"Пр. Вернадского, 92 (ЖК Корона)",55.65538218290388,37.474252199055314
Тропарёво-Никулино,Alex Fitness,Gym / Fitness Center,"ул. 26 Бакинских Комиссаров, 7, корп. 6",55.654824561987546,37.48511359630761
Коньково,Body Ideal,Gym / Fitness Center,Миклухо-Маклая 37,55.646065819599244,37.520893329584105
Коньково,Балет,Gym / Fitness Center,"Профсюзная, 96",55.647522077792395,37.52860358361527
Царицыно,Подвал,Gym,Севанская,55.62179203729214,37.65747227119053
Орехово-Борисово Северное,Фитнес-клуб Фитпрана,Gym,"Шипиловский проезд 43 корп.5, город Москва",55.61063641823318,37.69947408730543
Орехово-Борисово Южное,СпортЛэнд,Gym,"Ясеневая ул., 26 (Елецкая ул.), 115583",55.604074792410536,37.73576653690079
Орехово-Борисово Южное,Sportland,Gym,"Ясеневая ул., 26",55.60420454017692,37.73554653325686
Тропарёво-Никулино,"ФОК ""Семья""",Gym,"ул. Покрышкина, 3, корп. 3, 119602",55.66326131211081,37.4704953994396
Тропарёво-Никулино,"Центр единоборств ""Белый Лотос""",Martial Arts Dojo,26 Бакинских комиссаров,55.658874184843036,37.487430352886456
Тропарёво-Никулино,Федерация йоги,Yoga Studio,"ул. 26 Бакинских Комиссаров, 12, корп. 2, 119526",55.66041816831329,37.489277914762894
Тропарёво-Никулино,Фитнес-мания,Gym / Fitness Center,"Ленинский просп., 146, 119526",55.65778675157161,37.49839782714843
Коньково,Bikram Hot Yoga Moscow South-West,Yoga Studio,"ул. Бутлерова 17б, 117342",55.64760574769653,37.540578264699796
Коньково,Тренажерный зал,Gym,"ул. Введенского, 1",55.64818196755277,37.54917173734836
Орехово-Борисово Южное,ФОК «Русь»,Gym / Fitness Center,"Елецкая улица, 17/3",55.60767223108356,37.73638276800235
Орехово-Борисово Южное,SportLand (СпортЛэнд),Gym / Fitness Center,"Гурьевский пр., 25, корп. 1, 115597",55.608343823879785,37.75514718663437
Очаково-Матвеевское,Reebok Crossfit Stolitsa,Gym,Москва,55.67102223979558,37.43905221700066
Тропарёво-Никулино,Атланта,Gym / Fitness Center,"ул. Покрышкина, 8с1, 119602",55.66526579314337,37.47025052608972
Тропарёво-Никулино,"Спортивный Центр ""I-JUMP""",Gym / Fitness Center,"Ул. Академика Анохина, д.8, кор.1",55.667636655404785,37.47403958243042
Тропарёво-Никулино,Spirit Fitness,Gym / Fitness Center,"ТРЦ Avenue SouthWest, 119571",55.66281954845519,37.481496930131264
Тропарёво-Никулино,Скалодром МГУТХТ,Climbing Gym,Проспект Вернадского 86,55.66279081069647,37.47918035735592
Коньково,Фитнес-центр «Остров»,Gym / Fitness Center,"ул. Обручева, 30",55.65620585578078,37.52744997793665
Зюзино,Spirit Fitness,Gym / Fitness Center,"16А Балаклавский проспект (Чертановская ул.), 117452",55.64205548267461,37.603688856130255
Царицыно,Dorfit,Gym / Fitness Center,"Кавказский бульвар, 26",55.62897636976233,37.659111055235094
Царицыно,Вымпел,Gym,"Кавказский бул., 25",55.62999439365372,37.66754720150436
Орехово-Борисово Северное,Aqua Юна Life,Gym / Fitness Center,"Каширское шоссе д.61 корп. 3а, 115563",55.616634039302255,37.71579883163263
Очаково-Матвеевское,УГУАНЬ ИЛИЦЮАНЬ.,Martial Arts Dojo,Россия,55.6740703384347,37.442084638876075
Тропарёво-Никулино,World Class,Gym / Fitness Center,"проспект Вернадского, д.101, корп. 3, 119526",55.665873956710406,37.486649751663215
