Borough_Name,Venue_Name,Venue_Category_Name,Venue_Location,Venue_Latitude,Venue_Longitude
Гольяново,Тренировочный Зал,Gym,Россия,55.81349759298431,37.78847768295999
Отрадное,Фитнес клуб Зебра,Gym / Fitness Center,"Алтуфьевское Шоссе, д.18а, 127562",55.85780150421701,37.58529281401537
Отрадное,"Спорткомплекс ""Отрадное""",Gym / Fitness Center,"Хачатуряна 10, город Москва",55.85772275193789,37.59392377453193
Отрадное,X-Fit,Gym / Fitness Center,"Отрадная ул., 8",55.85727844673124,37.60841257908379
Отрадное,Фитнес Тайм,Gym / Fitness Center,"Отрадная ул., 16, 127273",55.85491729868922,37.61410330485982
Отрадное,"Бойцовский Клуб ""Шторм""",Martial Arts Dojo,Россия,55.85678048091119,37.611558563951775
Гольяново,"ФОК ""Атлант""",Gym / Fitness Center,Россия,55.82141025613048,37.7971443511192
Гольяново,Зал бокса,Boxing Gym,"ул. Байкальская, 42/14",55.81711177040019,37.813049466441605
Гольяново,"ФОК ""СДЮШОР 56""",Gym / Fitness Center,Россия,55.815724453172514,37.817963923890964
Отрадное,Магнат,Gym / Fitness Center,"Алтуфьевское ш., 28",55.86464085708818,37.585308464160455
Гольяново,Power,Gym,"Алтайская 19, стр. 1а",55.82197156176883,37.82274591075824
Гольяново,Т-Стиль,Gym / Fitness Center,"ул. Алтайская, д. 33/7",55.82065689349764,37.831929706164864
Отрадное,Батутная арена Saltus Sport,Gymnastics Gym,Мусоргского д.3,55.86275515138072,37.61917731999865
Отрадное,Shark,Gym / Fitness Center,Алтуфьевское шоссе 44,55.8743583468236,37.587531344031966
Отрадное,Соло-спорт,Gym / Fitness Center,"Римского-Корсакова ул., 14",55.873131801991065,37.603791992778895
Отрадное,"Фитнес-центр ""Паллада""",Gym / Fitness Center,Юрловский пр-д д.13,55.867937802077215,37.622908382691385
Бибирево,FitCurves,Gym / Fitness Center,Алтуфьевское Шоссе 72,55.89018261321072,37.58762803244965
Бибирево,X-Fit,Gym / Fitness Center,"Алтуфьевское ш., 70, корп. 2, 127549",55.88888078920864,37.58971052803048
Бибирево,Fitness Pro,Gym / Fitness Center,"ул. Пришвина, 3г",55.889968019450464,37.59443517664951
Бибирево,Fit Curves,Gym,Пришвина,55.88867748373917,37.59880794774467
Северное Медведково,Guru Yoga,Yoga Studio,Proezd Schokalskogo 22,55.88056961426129,37.64681872376844
Бибирево,Тиан,Gym,Улица Плещеева 12,55.88874254383108,37.614558935165405
Бибирево,Училище Олимп Резерва им. Гомельского,Gym / Fitness Center,"ул. Лескова, 25а",55.89310659551775,37.621251966180274
Бибирево,Fitness Pro,Gym,"Ул. Лескова, д.32",55.89186293456151,37.61945679461422
Бибирево,Фитнес-Про,Gym / Fitness Center,"ул. Лескова, 32",55.89187851452914,37.6195600793909
Северное Медведково,Platinum Fitness,Gym / Fitness Center,"Чермянский пр., 7, 127282",55.88929738881487,37.63195395889964
