0,1,2,3,4,5
"
77
","
Коптево
","
157633
","
−2,60%
","
8668941
","
−2,00%
"
"
78
","
Кузьминки
","
157459
","
−0,60%
","
8631547
","
2,20%
"
"
79
","
Бутово Северное
","
156238
","
−3,20%
","
8600322
","
−5,20%
"
"
80
","
Медведково Южное
","
155965
","
−0,20%
","
8531421
","
−1,20%
"
"
81
","
Рязанский
","
155645
","
3,40%
","
8498255
","
2,40%
"
"
82
","
Измайлово Северное
","
154447
","
−2,90%
","
8309897
","
1,00%
"
"
83
","
Перово
","
154025
","
−2,20%
","
8289862
","
−0,70%
"
"
84
","
Бутово Южное
","
153873
","
−1,90%
","
8258147
","
−4,80%
"
"
85
","
Орехово-Борисово Северное
","
153030
","
−1,90%
","
8175630
","
−1,80%
"
"
86
","
Новогиреево
","
151974
","
−2,80%
","
8130358
","
−5,90%
"
"
87
","
Текстильщики
","
151307
","
−3,40%
","
8105246
","
−2,60%
"
"
88
","
Преображенское
","
150951
","
−1,70%
","
8097479
","
−3,20%
"
"
89
","
Лосиноостровский
","
147845
","
−5,10%
","
8085201
","
−9,00%
"
"
90
","
Вешняки
","
147352
","
−0,80%
","
8075477
","
1,10%
"
"
91
","
Отрадное
","
147300
","
−1,00%
","
8065202
","
−1,70%
"
"
92
","
Дмитровский
","
147021
","
5,80%
","
8032858
","
5,70%
"
"
93
","
Дегунино Восточное
","
146300
","
−1,70%
","
7937072
","
3,10%
"
"
94
","
Гольяново
","
144398
","
−0,90%
","
7930851
","
−3,40%
"
"
95
","
Печатники
","
144301
","
−2,70%
","
7714030
","
2,20%
"
"
96
","
Орехово-Борисово Южное
","
141300
","
−1,70%
","
7710965
","
−1,30%
"
"
97
","
Ивановское
","
141112
","
−2,20%
","
7675761
","
−5,50%
"
"
98
","
Зябликово
","
140687
","
−2,00%
","
7660659
","
−4,40%
"
"
99
","
Бибирево
","
140533
","
−5,00%
","
7630147
","
−9,80%
"
"
100
","
Выхино-Жулебино
","
140357
","
−2,70%
","
7608989
","
1,70%
"
"
101
","
Марьино
","
140306
","
−4,50%
","
7593635
","
−5,20%
"
"
102
","
Новокосино
","
138743
","
1,40%
","
7586245
","
1,70%
"
"
103
","
Люблино
","
138523
","
−2,40%
","
7519325
","
0,40%
"
"
104
","
Алтуфьевский
","
138021
","
−3,80%
","
7503011
","
−5,30%
"
"
105
","
Братеево
","
136300
","
−4,60%
","
7454700
","
−2,70%
"
"
106
","
Чертаново Южное
","
134332
","
−9,00%
","
7432025
","
−7,20%
"
"
107
","
Лианозово
","
133827
","
−3,10%
","
7403656
","
2,90%
"
"
108
","
Солнцево
","
133645
","
−2,10%
","
7383141
","
−4,30%
"
"
109
","
Метрогородок
","
132441
","
−6,10%
","
7345303
","
−1,70%
"
"
110
","
Косино-Ухтомский
","
132011
","
−2,90%
","
7303001
","
−1,30%
"
"
111
","
Ново-Переделкино
","
131641
","
−0,70%
","
7280232
","
0,10%
"
"
112
","
Царицыно
","
125874
","
−2,40%
","
7203021
","
−0,20%
"
"
113
","
Внуковское
","
125502
","
−1,70%
","
7128568
","
−5,80%
"
"
114
","
Бирюлево Восточное
","
124645
","
−5,10%
","
6998896
","
−1,10%
"
"
115
","
Северный
","
120878
","
−5,40%
","
6940344
","
−2,80%
"
"
116
","
Капотня
","
120200
","
−5,60%
","
6635875
","
−1,00%
"
"
117
","
Московский
","
119645
","
−7,10%
","
6545457
","
−3,30%
"
"
118
","
Восточный
","
118030
","
−2,20%
","
6509691
","
−6,30%
"
"
119
","
Внуково
","
113399
","
−2,00%
","
6452887
","
−5,00%
"
"
120
","
Троицк
","
112212
","
4,50%
","
6306487
","
3,60%
"
"
121
","
Некрасовка
","
110878
","
−2,90%
","
6284545
","
−0,50%
"
"
122
","
Молжаниновский
","
110572
","
−4,40%
","
6246951
","
−3,90%
"
"
123
","
Бирюлево-Западное
","
109421
","
−7,00%
","
6230353
","
−5,10%
"
"
124
","
Зеленоград АО
","
109320
","
−3,20%
","
6205565
","
−1,00%
"
"
125
","
Первомайское
","
107693
","
−0,30%
","
6136656
","
1,50%
"
"
126
","
Сосенское
","
107289
","
−8,60%
","
6109741
","
−7,20%
"
