Borough_Name,District_Name,Borough_Type,OKATO_Borough_Code,OKTMO_District_Code,Borough_Area,Borough_Population,Borough_Population_Density,Borough_Housing_Area,Borough_Housing_Area_Per_Person,Latitude,Longitude,Borough_Housing_Price,Borough_Population_Housing_Price,Gym_Count,Borough_Population_Per_Gym
Мещанский,ЦАО,Муниципальный округ,45286570,45379000,4.6,61213,13307,1417.4,24.4,55.779172,37.6279886,320746,0.1908457159247504,5.0,12242.6
Можайский,ЗАО,Муниципальный округ,45268569,45321000,10.73,138610,12917,2655.9,20.0,55.7167137,37.4148645,200874,0.6900345490207792,12.0,11550.833333333334
Москворечье-Сабурово,ЮАО,Муниципальный округ,45296569,45917000,9.3,80673,8674,1314.7,17.9,55.64286510000001,37.6703469,164441,0.4905893299116401,6.0,13445.5
Нагатино-Садовники,ЮАО,Муниципальный округ,45296571,45918000,8.17,83496,10219,960.4,12.8,55.67461170000001,37.645480600000006,180555,0.462440807510177,11.0,7590.545454545455
Нагатинский Затон,ЮАО,Муниципальный округ,45296573,45919000,9.8,120954,12342,1848.8,16.2,55.6754775,37.6810684,174442,0.6933765950860458,7.0,17279.14285714286
Нагорный,ЮАО,Муниципальный округ,45296575,45920000,5.42,81731,15079,1551.4,20.3,55.6703681,37.6163609,171887,0.4754926201516113,6.0,13621.833333333334
Нижегородский,ЮВАО,Муниципальный округ,45290578,45392000,7.57,45294,5983,722.3,16.8,55.7299222,37.71648029999999,167642,0.2701828897293041,6.0,7549.0
Новогиреево,ВАО,Муниципальный округ,45263576,45309000,4.45,98415,22115,1704.0,17.9,55.74876510000001,37.8061677,151974,0.6475778751628568,6.0,16402.5
Новокосино,ВАО,Муниципальный округ,45263579,45310000,3.6,107907,29974,1682.4,16.2,55.7398569,37.8603097,138743,0.7777473458120409,3.0,35969.0
Обручевский,ЮЗАО,Муниципальный округ,45293578,45905000,6.11,86793,14205,1742.0,21.7,55.6641579,37.5203033,200635,0.4325915219179106,10.0,8679.3
Орехово-Борисово Северное,ЮАО,Муниципальный округ,45296577,45921000,7.67,132265,17244,1939.6,15.1,55.619223,37.70110250000001,153030,0.8643076520943606,6.0,22044.166666666668
Орехово-Борисово Южное,ЮАО,Муниципальный округ,45296579,45922000,6.94,147789,21295,2149.7,14.8,55.603885,37.729895,141300,1.0459235668789808,9.0,16421.0
Останкинский,СВАО,Муниципальный округ,45280572,45358000,12.46,63514,5097,1131.4,18.6,55.82107679999999,37.619119,214077,0.296687640428444,4.0,15878.5
Отрадное,СВАО,Муниципальный округ,45280574,45359000,10.18,185488,18220,3191.6,17.8,55.8646371,37.6044745,147300,1.2592532247114732,9.0,20609.777777777777
Очаково-Матвеевское,ЗАО,Муниципальный округ,45268579,45323000,17.54,130742,7453,2255.1,19.7,55.690291,37.4406611,193998,0.6739347828328127,7.0,18677.428571428572
Перово,ВАО,Муниципальный округ,45263583,45312000,9.73,140968,14487,2248.0,16.5,55.751069,37.75316289999999,154025,0.9152280473949034,9.0,15663.111111111111
Печатники,ЮВАО,Муниципальный округ,45290582,45393000,17.89,86587,4839,1369.3,16.5,55.6935214,37.7269124,144301,0.6000443517369942,9.0,9620.777777777777
Покровское-Стрешнево,СЗАО,Муниципальный округ,45283569,45368000,12.9,59402,4604,1006.7,18.1,55.8250254,37.4504006,194344,0.3056538920676738,10.0,5940.2
Преображенское,ВАО,Муниципальный округ,45263594,45316000,5.61,91503,16310,1453.2,17.7,55.7938235,37.7113174,150951,0.6061768388417433,9.0,10167.0
Пресненский,ЦАО,Муниципальный округ,45286575,45380000,11.7,128062,10945,1416.4,11.5,55.76221460000001,37.5606576,353288,0.3624861302959625,30.0,4268.733333333334
Проспект Вернадского,ЗАО,Муниципальный округ,45268581,45324000,4.65,63659,13690,1831.0,29.6,55.6771999,37.5060872,233500,0.2726295503211991,8.0,7957.375
Раменки,ЗАО,Муниципальный округ,45268584,45325000,18.54,141610,7638,3511.2,27.0,55.69756070000001,37.4985423,311662,0.4543704397712907,19.0,7453.1578947368425
Ростокино,СВАО,Муниципальный округ,45280577,45360000,3.54,40082,11322,732.8,19.7,55.8350125,37.652476,175646,0.2281976247679993,6.0,6680.333333333333
Рязанский,ЮВАО,Муниципальный округ,45290586,45394000,6.49,109733,16908,2025.9,19.9,55.72218340000001,37.7688303,155645,0.7050210414725818,2.0,54866.5
Савёловский,САО,Муниципальный округ,45277586,45344000,2.7,59287,21958,1120.0,19.2,55.7997689,37.5708333,200555,0.29561466929271274,4.0,14821.75
Свиблово,СВАО,Муниципальный округ,45280580,45361000,4.41,62847,14251,956.1,15.9,55.8531049,37.6467906,207658,0.3026466594111472,2.0,31423.5
Северное Измайлово,ВАО,Муниципальный округ,45263585,45313000,4.2,87614,20860,1624.3,19.1,55.8067811,37.8033479,154447,0.5672755055132181,7.0,12516.285714285714
Северное Медведково,СВАО,Муниципальный округ,45280583,45362000,5.66,127819,22582,1764.0,14.5,55.889663,37.6529265,160444,0.7966580239834459,6.0,21303.166666666668
Северное Тушино,СЗАО,Муниципальный округ,45283573,45369000,9.4,165762,17634,2665.5,17.4,55.8632245,37.4279373,165888,0.9992404513888888,5.0,33152.4
Сокол,САО,Муниципальный округ,45277589,45345000,3.72,59507,15996,1163.5,20.2,55.8050063,37.5056244,218854,0.2719027296736637,6.0,9917.833333333334
Соколиная Гора,ВАО,Муниципальный округ,45263588,45314000,7.84,92126,11750,1422.0,16.3,55.7728247,37.73014420000001,190020,0.4848226502473424,8.0,11515.75
Сокольники,ВАО,Муниципальный округ,45263591,45315000,10.28,61487,5981,1247.2,21.7,55.78881120000001,37.6802722,235135,0.2614965870670041,6.0,10247.833333333334
Строгино,СЗАО,Муниципальный округ,45283577,45370000,16.84,160791,9548,2406.2,15.8,55.8036918,37.4031404,200878,0.8004410637302243,7.0,22970.14285714286
Таганский,ЦАО,Муниципальный округ,45286580,45381000,8.01,123398,15405,2380.6,20.5,55.7415723,37.6670626,284020,0.43446940356312935,21.0,5876.0952380952385
Тверской,ЦАО,Муниципальный округ,45286585,45382000,7.27,77864,10710,1253.3,16.4,55.7691461,37.6088355,386255,0.20158703447204568,30.0,2595.4666666666667
Текстильщики,ЮВАО,Муниципальный округ,45290590,45395000,5.92,105267,17781,1638.7,16.3,55.7031811,37.7405918,151307,0.6957179773572935,6.0,17544.5
Тёплый Стан,ЮЗАО,Муниципальный округ,45293586,45907000,7.5,134321,17909,2406.4,19.1,55.63180237920559,37.48118427058717,167524,0.8018015329146868,5.0,26864.2
Тимирязевский,САО,Муниципальный округ,45277592,45346000,10.43,83712,8026,1836.2,22.2,55.8258166,37.5577439,192644,0.4345424721247482,10.0,8371.2
Тропарёво-Никулино,ЗАО,Муниципальный округ,45268592,45327000,11.27,124167,11017,2895.2,24.4,55.663719365218924,37.481999662127706,225256,0.5512261604574351,17.0,7303.941176470588
Филёвский Парк,ЗАО,Муниципальный округ,45268595,45328000,9.62,94323,9804,1605.9,19.9,55.7470546,37.4921813,224957,0.41929346497330605,15.0,6288.2
Фили-Давыдково,ЗАО,Муниципальный округ,45268597,45329000,6.96,115128,16541,2388.6,21.3,55.7288995,37.4673379,222529,0.5173617820598664,9.0,12792.0
Хамовники,ЦАО,Муниципальный округ,45286590,45383000,10.08,109218,10835,2559.6,24.8,55.729229,37.5729484,425741,0.25653625091311383,30.0,3640.6
Ховрино,САО,Муниципальный округ,45277595,45347000,5.73,89018,15535,2450.2,30.2,55.86935749999999,37.4887954,159745,0.5572506181727127,10.0,8901.8
Хорошёво-Мнёвники,СЗАО,Муниципальный округ,45283582,45371000,17.18,173615,10105,2918.0,17.8,55.7787568,37.4800743,210645,0.8242066035272615,16.0,10850.9375
Хорошёвский,САО,Муниципальный округ,45277598,45348000,9.88,72676,7355,2182.0,38.2,55.7789309,37.5271723,260203,0.27930500416982124,16.0,4542.25
Царицыно,ЮАО,Муниципальный округ,45296590,45923000,8.43,129138,15318,1836.9,14.9,55.62659420000001,37.6670226,125874,1.0259306925973593,5.0,25827.6
Черёмушки,ЮЗАО,Муниципальный округ,45293590,45908000,5.52,110753,20063,1656.7,16.3,55.6635403,37.5610662,213025,0.5199061143058327,7.0,15821.857142857143
Чертаново Северное,ЮАО,Муниципальный округ,45296593,45924000,5.4,114548,21212,1899.5,17.2,55.6330775,37.6052365,180547,0.6344497554653359,15.0,7636.533333333334
Чертаново Центральное,ЮАО,Муниципальный округ,45296595,45925000,6.52,117092,17958,2907.0,26.0,55.6151581,37.6032734,160577,0.7291953393076219,9.0,13010.222222222223
Чертаново Южное,ЮАО,Муниципальный округ,45296597,45926000,9.38,151726,16175,2192.8,15.4,55.58983520000001,37.5957481,134332,1.1294851561802102,11.0,13793.272727272728
Щукино,СЗАО,Муниципальный округ,45283587,45372000,7.69,111203,14460,2062.0,20.1,55.8005723,37.47305520000001,233545,0.4761523475133272,9.0,12355.888888888889
Южное Медведково,СВАО,Муниципальный округ,45280594,45364000,3.88,85698,22087,1355.3,16.3,55.8748262,37.6338939,155965,0.5494694322444138,4.0,21424.5
Южное Тушино,СЗАО,Муниципальный округ,45283593,45373000,7.94,109218,13755,1714.9,16.9,55.8438581,37.43154060000001,162854,0.6706497844695248,10.0,10921.8
Южнопортовый,ЮВАО,Муниципальный округ,45290594,45396000,4.53,74729,16496,1449.0,20.6,55.71960350000001,37.67361870000001,190357,0.39257290249373533,12.0,6227.416666666667
Якиманка,ЦАО,Муниципальный округ,45286596,45384000,4.8,27672,5765,788.7,29.8,55.7383741,37.6169128,404471,0.06841528811707144,16.0,1729.5
Ярославский,СВАО,Муниципальный округ,45280597,45365000,7.99,98108,12278,1404.5,15.3,55.86143199999999,37.6935724,159241,0.616097613051915,7.0,14015.42857142857
Ясенево,ЮЗАО,Муниципальный округ,45293598,45910000,25.37,177901,7012,2969.3,16.4,55.6062621,37.53374760000001,166852,1.0662203629563924,14.0,12707.214285714286
