Borough_index,Borough_Name,District_Name,Borough_Type,OKATO_Borough_Code,OKTMO_District_Code
76.0,"Очаково-Матвеевское
","ЗАО
","Муниципальный округ
",45268579.0,45323000.0
77.0,"Перово
","ВАО
","Муниципальный округ
",45263583.0,45312000.0
78.0,"Печатники
","ЮВАО
","Муниципальный округ
",45290582.0,45393000.0
79.0,"Покровское-Стрешнево
","СЗАО
","Муниципальный округ
",45283569.0,45368000.0
80.0,"Преображенское
","ВАО
","Муниципальный округ
",45263594.0,45316000.0
81.0,"Пресненский
","ЦАО
","Муниципальный округ
",45286575.0,45380000.0
82.0,"Проспект Вернадского
","ЗАО
","Муниципальный округ
",45268581.0,45324000.0
83.0,"Раменки
","ЗАО
","Муниципальный округ
",45268584.0,45325000.0
84.0,"Ростокино
","СВАО
","Муниципальный округ
",45280577.0,45360000.0
85.0,"Рязанский
","ЮВАО
","Муниципальный округ
",45290586.0,45394000.0
86.0,"Савёлки
","ЗелАО
","Муниципальный округ
",45272568.0,45377000.0
87.0,"Савёловский
","САО
","Муниципальный округ
",45277586.0,45344000.0
88.0,"Свиблово
","СВАО
","Муниципальный округ
",45280580.0,45361000.0
89.0,"Северное Бутово
","ЮЗАО
","Муниципальный округ
",45293582.0,45906000.0
90.0,"Северное Измайлово
","ВАО
","Муниципальный округ
",45263585.0,45313000.0
91.0,"Северное Медведково
","СВАО
","Муниципальный округ
",45280583.0,45362000.0
92.0,"Северное Тушино
","СЗАО
","Муниципальный округ
",45283573.0,45369000.0
93.0,"Северный
","СВАО
","Муниципальный округ
",45280585.0,45363000.0
94.0,"Силино
","ЗелАО
","Муниципальный округ
",45272572.0,45332000.0
95.0,"Сокол
","САО
","Муниципальный округ
",45277589.0,45345000.0
96.0,"Соколиная Гора
","ВАО
","Муниципальный округ
",45263588.0,45314000.0
97.0,"Сокольники
","ВАО
","Муниципальный округ
",45263591.0,45315000.0
98.0,"Солнцево
","ЗАО
","Муниципальный округ
",45268588.0,45326000.0
99.0,"Старое Крюково
","ЗелАО
","Муниципальный округ
",45272576.0,45927000.0
100.0,"Строгино
","СЗАО
","Муниципальный округ
",45283577.0,45370000.0
101.0,"Таганский
","ЦАО
","Муниципальный округ
",45286580.0,45381000.0
102.0,"Тверской
","ЦАО
","Муниципальный округ
",45286585.0,45382000.0
103.0,"Текстильщики
","ЮВАО
","Муниципальный округ
",45290590.0,45395000.0
104.0,"Тёплый Стан
","ЮЗАО
","Муниципальный округ
",45293586.0,45907000.0
105.0,"Тимирязевский
","САО
","Муниципальный округ
",45277592.0,45346000.0
106.0,"Тропарёво-Никулино
","ЗАО
","Муниципальный округ
",45268592.0,45327000.0
107.0,"Филёвский Парк
","ЗАО
","Муниципальный округ
",45268595.0,45328000.0
108.0,"Фили-Давыдково
","ЗАО
","Муниципальный округ
",45268597.0,45329000.0
109.0,"Хамовники
","ЦАО
","Муниципальный округ
",45286590.0,45383000.0
