Borough_Name,District_Name,Borough_Type,OKATO_Borough_Code,OKTMO_District_Code,Borough_Area,Borough_Population,Borough_Population_Density,Borough_Housing_Area,Borough_Housing_Area_Per_Person,Latitude,Longitude,Borough_Housing_Price
Ломоносовский,ЮЗАО,Муниципальный округ,45293574,45904000,3.34,88320,26443,2881.5,33.9,55.6799618,37.5332552,229014
Лосиноостровский,СВАО,Муниципальный округ,45280565,45355000,5.54,82899,14963,1486.0,18.7,55.8826072,37.694540100000005,147845
Люблино,ЮВАО,Муниципальный округ,45290568,45389000,17.41,172054,9882,2739.7,15.9,55.675622399999995,37.761925399999996,138523
Марфино,СВАО,Муниципальный округ,45280567,45356000,2.97,35387,11914,711.1,26.2,55.833041599999994,37.59134470000001,167887
Марьина Роща,СВАО,Муниципальный округ,45280569,45357000,4.68,67394,14400,1118.9,16.9,55.795515599999995,37.616309,211977
Марьино,ЮВАО,Муниципальный округ,45290572,45390000,11.91,253943,21321,4523.0,18.6,55.6500377,37.74330560000001,140306
Метрогородок,ВАО,Муниципальный округ,45263581,45311000,27.57,39024,1415,575.7,15.9,55.8249036,37.756955,132441
Мещанский,ЦАО,Муниципальный округ,45286570,45379000,4.6,61213,13307,1417.4,24.4,55.779171999999996,37.6279886,320746
Митино,СЗАО,Муниципальный округ,45283559,45367000,12.67,194965,15387,3658.1,21.0,55.845754299999996,37.3622259,166324
Можайский,ЗАО,Муниципальный округ,45268569,45321000,10.73,138610,12917,2655.9,20.0,55.7167137,37.4148645,200874
Молжаниновский,САО,Муниципальный округ,45277584,45343000,21.78,12194,559,69.9,19.9,55.93672370000001,37.3769255,110572
Москворечье-Сабурово,ЮАО,Муниципальный округ,45296569,45917000,9.3,80673,8674,1314.7,17.9,55.64286510000001,37.6703469,164441
Нагатино-Садовники,ЮАО,Муниципальный округ,45296571,45918000,8.17,83496,10219,960.4,12.8,55.67461170000001,37.645480600000006,180555
Нагатинский Затон,ЮАО,Муниципальный округ,45296573,45919000,9.8,120954,12342,1848.8,16.2,55.6754775,37.6810684,174442
Нагорный,ЮАО,Муниципальный округ,45296575,45920000,5.42,81731,15079,1551.4,20.3,55.6703681,37.6163609,171887
Некрасовка,ЮВАО,Муниципальный округ,45290574,45391000,5.58,71943,12893,385.5,20.1,55.6973427,37.9422701,110878
Нижегородский,ЮВАО,Муниципальный округ,45290578,45392000,7.57,45294,5983,722.3,16.8,55.729922200000004,37.71648029999999,167642
Ново-Переделкино,ЗАО,Муниципальный округ,45268577,45322000,8.48,121553,14334,1895.0,16.4,55.6461043,37.352684,131641
Новогиреево,ВАО,Муниципальный округ,45263576,45309000,4.45,98415,22115,1704.0,17.9,55.74876510000001,37.8061677,151974
Новокосино,ВАО,Муниципальный округ,45263579,45310000,3.6,107907,29974,1682.4,16.2,55.7398569,37.8603097,138743
Обручевский,ЮЗАО,Муниципальный округ,45293578,45905000,6.11,86793,14205,1742.0,21.7,55.6641579,37.5203033,200635
Орехово-Борисово Северное,ЮАО,Муниципальный округ,45296577,45921000,7.67,132265,17244,1939.6,15.1,55.619223,37.701102500000005,153030
Орехово-Борисово Южное,ЮАО,Муниципальный округ,45296579,45922000,6.94,147789,21295,2149.7,14.8,55.603885,37.729895,141300
Останкинский,СВАО,Муниципальный округ,45280572,45358000,12.46,63514,5097,1131.4,18.6,55.82107679999999,37.619119,214077
Отрадное,СВАО,Муниципальный округ,45280574,45359000,10.18,185488,18220,3191.6,17.8,55.8646371,37.6044745,147300
Очаково-Матвеевское,ЗАО,Муниципальный округ,45268579,45323000,17.54,130742,7453,2255.1,19.7,55.690291,37.4406611,193998
Перово,ВАО,Муниципальный округ,45263583,45312000,9.73,140968,14487,2248.0,16.5,55.751068999999994,37.75316289999999,154025
Печатники,ЮВАО,Муниципальный округ,45290582,45393000,17.89,86587,4839,1369.3,16.5,55.6935214,37.7269124,144301
Покровское-Стрешнево,СЗАО,Муниципальный округ,45283569,45368000,12.9,59402,4604,1006.7,18.1,55.825025399999994,37.4504006,194344
Преображенское,ВАО,Муниципальный округ,45263594,45316000,5.61,91503,16310,1453.2,17.7,55.7938235,37.7113174,150951
Пресненский,ЦАО,Муниципальный округ,45286575,45380000,11.7,128062,10945,1416.4,11.5,55.76221460000001,37.5606576,353288
Проспект Вернадского,ЗАО,Муниципальный округ,45268581,45324000,4.65,63659,13690,1831.0,29.6,55.6771999,37.5060872,233500
Раменки,ЗАО,Муниципальный округ,45268584,45325000,18.54,141610,7638,3511.2,27.0,55.69756070000001,37.4985423,311662
Ростокино,СВАО,Муниципальный округ,45280577,45360000,3.54,40082,11322,732.8,19.7,55.8350125,37.652476,175646
Рязанский,ЮВАО,Муниципальный округ,45290586,45394000,6.49,109733,16908,2025.9,19.9,55.722183400000006,37.7688303,155645
Савёловский,САО,Муниципальный округ,45277586,45344000,2.7,59287,21958,1120.0,19.2,55.799768900000004,37.5708333,200555
Свиблово,СВАО,Муниципальный округ,45280580,45361000,4.41,62847,14251,956.1,15.9,55.8531049,37.6467906,207658
Северное Измайлово,ВАО,Муниципальный округ,45263585,45313000,4.2,87614,20860,1624.3,19.1,55.8067811,37.8033479,154447
Северное Медведково,СВАО,Муниципальный округ,45280583,45362000,5.66,127819,22582,1764.0,14.5,55.889663,37.6529265,160444
Северное Тушино,СЗАО,Муниципальный округ,45283573,45369000,9.4,165762,17634,2665.5,17.4,55.8632245,37.427937299999996,165888
Северный,СВАО,Муниципальный округ,45280585,45363000,10.29,38551,3746,620.0,22.2,55.9325397,37.5430356,120878
Сокол,САО,Муниципальный округ,45277589,45345000,3.72,59507,15996,1163.5,20.2,55.805006299999995,37.5056244,218854
Соколиная Гора,ВАО,Муниципальный округ,45263588,45314000,7.84,92126,11750,1422.0,16.3,55.772824699999994,37.730144200000005,190020
Сокольники,ВАО,Муниципальный округ,45263591,45315000,10.28,61487,5981,1247.2,21.7,55.788811200000005,37.6802722,235135
Солнцево,ЗАО,Муниципальный округ,45268588,45326000,11.29,126456,11200,2058.4,17.7,55.6496916,37.391217700000006,133645
Строгино,СЗАО,Муниципальный округ,45283577,45370000,16.84,160791,9548,2406.2,15.8,55.803691799999996,37.4031404,200878
Таганский,ЦАО,Муниципальный округ,45286580,45381000,8.01,123398,15405,2380.6,20.5,55.7415723,37.6670626,284020
Тверской,ЦАО,Муниципальный округ,45286585,45382000,7.27,77864,10710,1253.3,16.4,55.7691461,37.6088355,386255
Текстильщики,ЮВАО,Муниципальный округ,45290590,45395000,5.92,105267,17781,1638.7,16.3,55.7031811,37.7405918,151307
Тёплый Стан,ЮЗАО,Муниципальный округ,45293586,45907000,7.5,134321,17909,2406.4,19.1,55.63180237920559,37.48118427058717,167524
Тимирязевский,САО,Муниципальный округ,45277592,45346000,10.43,83712,8026,1836.2,22.2,55.825816599999996,37.5577439,192644
Тропарёво-Никулино,ЗАО,Муниципальный округ,45268592,45327000,11.27,124167,11017,2895.2,24.4,55.663719365218924,37.481999662127706,225256
Филёвский Парк,ЗАО,Муниципальный округ,45268595,45328000,9.62,94323,9804,1605.9,19.9,55.7470546,37.4921813,224957
Фили-Давыдково,ЗАО,Муниципальный округ,45268597,45329000,6.96,115128,16541,2388.6,21.3,55.7288995,37.4673379,222529
Хамовники,ЦАО,Муниципальный округ,45286590,45383000,10.08,109218,10835,2559.6,24.8,55.729229000000004,37.5729484,425741
Ховрино,САО,Муниципальный округ,45277595,45347000,5.73,89018,15535,2450.2,30.2,55.86935749999999,37.488795399999994,159745
Хорошёво-Мнёвники,СЗАО,Муниципальный округ,45283582,45371000,17.18,173615,10105,2918.0,17.8,55.7787568,37.4800743,210645
Хорошёвский,САО,Муниципальный округ,45277598,45348000,9.88,72676,7355,2182.0,38.2,55.7789309,37.5271723,260203
Царицыно,ЮАО,Муниципальный округ,45296590,45923000,8.43,129138,15318,1836.9,14.9,55.62659420000001,37.6670226,125874
Черёмушки,ЮЗАО,Муниципальный округ,45293590,45908000,5.52,110753,20063,1656.7,16.3,55.663540299999994,37.5610662,213025
Чертаново Северное,ЮАО,Муниципальный округ,45296593,45924000,5.4,114548,21212,1899.5,17.2,55.6330775,37.6052365,180547
Чертаново Центральное,ЮАО,Муниципальный округ,45296595,45925000,6.52,117092,17958,2907.0,26.0,55.6151581,37.6032734,160577
Чертаново Южное,ЮАО,Муниципальный округ,45296597,45926000,9.38,151726,16175,2192.8,15.4,55.58983520000001,37.5957481,134332
Щукино,СЗАО,Муниципальный округ,45283587,45372000,7.69,111203,14460,2062.0,20.1,55.8005723,37.473055200000005,233545
Южное Медведково,СВАО,Муниципальный округ,45280594,45364000,3.88,85698,22087,1355.3,16.3,55.8748262,37.633893900000004,155965
Южное Тушино,СЗАО,Муниципальный округ,45283593,45373000,7.94,109218,13755,1714.9,16.9,55.8438581,37.431540600000005,162854
Южнопортовый,ЮВАО,Муниципальный округ,45290594,45396000,4.53,74729,16496,1449.0,20.6,55.719603500000005,37.673618700000006,190357
Якиманка,ЦАО,Муниципальный округ,45286596,45384000,4.8,27672,5765,788.7,29.8,55.7383741,37.616912799999994,404471
Ярославский,СВАО,Муниципальный округ,45280597,45365000,7.99,98108,12278,1404.5,15.3,55.86143199999999,37.6935724,159241
Ясенево,ЮЗАО,Муниципальный округ,45293598,45910000,25.37,177901,7012,2969.3,16.4,55.6062621,37.533747600000005,166852
Троицк,Троицкий,Городской округ,45298578,45931000,16.33,61079,3740,,,55.4728168,37.3017465,112212
Щербинка,Новомосковский,Городской округ,45297581,45932000,7.62,53281,6992,,,55.506913600000004,37.5673544,98523
Внуковское,Новомосковский,Поселение,45297552,45941000,25.6,7815,305,,,55.6331326,37.29401715605285,125502
Вороновское,Троицкий,Поселение,45298553,45943000,206.26,8891,43,,,55.3211324,37.121986757846344,86320
Воскресенское,Новомосковский,Поселение,45297554,45942000,24.77,9822,396,,,56.1692547,35.4502598,82477
Киевский,Троицкий,Поселение,45298555,45945000,56.5,13968,247,,,55.743119400000005,37.5654146728006,82311
Кокошкино,Новомосковский,Поселение,45297559,45947000,8.28,19045,2300,,,55.5994442,37.173982200000005,98403
Краснопахорское,Троицкий,Поселение,45298561,45948000,87.78,4901,55,,,55.41719285,37.27223249906711,98302
Марушкинское,Новомосковский,Поселение,45297562,45949000,50.63,7082,139,,,55.59471729999999,37.218909100000005,79998
Михайлово-Ярцевское,Троицкий,Поселение,45298564,45951000,63.47,5483,86,,,55.40271185,37.152744036721494,79454
Московский,Новомосковский,Поселение,45297565,45952000,40.6,61224,1507,,,55.602550199999996,37.348087,119645
Первомайское,Троицкий,Поселение,45298572,45955000,118.94,8481,71,,,55.946751600000006,36.5059077,107693
Роговское,Троицкий,Поселение,45298575,45956000,175.95,3915,22,,,55.229093299999995,37.05519465465914,90874
Рязановское,Новомосковский,Поселение,45297571,45957000,41.41,20587,497,,,55.4787231,37.505779026145376,95333
Сосенское,Новомосковский,Поселение,45297574,45958000,67.07,30651,457,,,55.575208999999994,37.4652734,107289
Филимонковское,Новомосковский,Поселение,45297577,45959000,35.77,7026,196,,,55.56884855,37.30956742236274,82364
Щаповское,Троицкий,Поселение,45298583,45961000,86.06,9572,111,,,55.3845777,37.385271749941815,75321
