Cell_id,Cell_Latitude,Cell_Longitude,Venue_Id,Venue_Name,Venue_All_Categories,Venue_Latitude,Venue_Longitude,Venue_Location,Venue_Distance,Borough_Name,Venue_Category_Name,Venue_Category_Id
"55.645641395070534,37.52420537755476",55.645641395070534,37.52420537755476,5319c79a498e100c15d21ead,Body Ideal,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.646065819599244,37.520893329584105,Миклухо-Маклая 37,213,Коньково,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.645641395070534,37.52420537755476",55.645641395070534,37.52420537755476,4e9941227ee571e1ee831ff3,Балет,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.647522077792395,37.52860358361527,"Профсюзная, 96",346,Коньково,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.61999787036246,37.65618331647582",55.61999787036246,37.65618331647582,50a2e07ae4b0cc03702d878c,Подвал,"[('Gym', '4bf58dd8d48988d176941735')]",55.62179203729214,37.657472271190535,Севанская,215,Царицыно,Gym,4bf58dd8d48988d176941735
"55.611420226090964,37.70012864043968",55.611420226090964,37.70012864043968,4e9883f42c5b827059eec59a,Фитнес-клуб Фитпрана,"[('Gym', '4bf58dd8d48988d176941735')]",55.61063641823318,37.69947408730543,"Шипиловский проезд 43 корп.5, город Москва",96,Орехово-Борисово Северное,Gym,4bf58dd8d48988d176941735
"55.60454740288581,37.73526783631366",55.60454740288581,37.73526783631366,5248f9a811d200b0046b73e9,СпортЛэнд,"[('Gym', '4bf58dd8d48988d176941735')]",55.60407479241054,37.73576653690079,"Ясеневая ул., 26 (Елецкая ул.), 115583",61,Орехово-Борисово Южное,Gym,4bf58dd8d48988d176941735
"55.60454740288581,37.73526783631366",55.60454740288581,37.73526783631366,521af30e11d27fbcf2b1ae85,Sportland,"[('Gym', '4bf58dd8d48988d176941735')]",55.60420454017692,37.73554653325686,"Ясеневая ул., 26",41,Орехово-Борисово Южное,Gym,4bf58dd8d48988d176941735
"55.66102618335352,37.46955519745537",55.66102618335352,37.46955519745537,4f6602a2e4b03c270b363134,"ФОК ""Семья""","[('Gym', '4bf58dd8d48988d176941735')]",55.66326131211081,37.4704953994396,"ул. Покрышкина, 3, корп. 3, 119602",255,Тропарёво-Никулино,Gym,4bf58dd8d48988d176941735
"55.6559190632439,37.495988616515326",55.65591906324389,37.495988616515326,4bd8749835aad13a99eb90f3,Фитнес-мания,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.65778675157161,37.49839782714843,"Ленинский просп., 146, 119526",257,Тропарёво-Никулино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.60971312476687,37.733506496605294",55.60971312476686,37.733506496605294,4e7c67478998832e2f5fd1d7,ФОК «Русь»,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.60767223108356,37.73638276800235,"Елецкая улица, 17/3",290,Орехово-Борисово Южное,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.60627318995396,37.75107293787352",55.60627318995396,37.75107293787352,4f3424a6e4b04ffdc5bfec03,SportLand (СпортЛэнд),"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.60834382387978,37.75514718663437,"Гурьевский пр., 25, корп. 1, 115597",344,Орехово-Борисово Южное,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.67129288538263,37.441309646979875",55.671292885382634,37.44130964697988,4ffce45de4b0184d35962ef0,Reebok Crossfit Stolitsa,"[('Gym', '4bf58dd8d48988d176941735')]",55.67102223979558,37.43905221700066,Москва,144,Очаково-Матвеевское,Gym,4bf58dd8d48988d176941735
"55.66619123297209,37.46775538302627",55.666191232972096,37.46775538302627,4e2af3f218a80bb05853469d,Атланта,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.66526579314337,37.47025052608972,"ул. Покрышкина, 8с1, 119602",187,Тропарёво-Никулино,Gym / Fitness Center,4bf58dd8d48988d175941735
